log_text                                                                                                                                       , label
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=8468"                                                                                                                          ,     1
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=2991]                                                         ,     0
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=5513]                                                         ,     0
"INFO: 172.18.0.4:38902 - ""GET /api/v1/users/profile HTTP/1.1"" 200 OK [req_id=4131]"                                                         ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=3480"                                                                                                                          ,     1
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=1456]                                                         ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=8074"                                                                                                                          ,     1
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=5583]"                                                         ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=6929"                                                                                                                          ,     1
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=5655"                                                                                                                          ,     1
INFO: [target-app] Health check probe passed. All downstream dependencies reachable. [req_id=9153]                                             ,     0
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=8909]                                                                  ,     0
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=7399]"                                                         ,     0
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=5497]"                                                                              ,     0
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=1873"                                                                                                                          ,     1
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=2183"                                                                                                                          ,     1
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=7755]                                      ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=8177"                                                                                                                          ,     1
INFO: [target-app] Database heartbeat query executed in 1.4ms. [req_id=7168]                                                                   ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=8029"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=8265"                                                                                                                          ,     1
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=9565]                                      ,     0
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=4954]                                      ,     0
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=9483]                                                       ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=8652"                                                                                                                          ,     1
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=8801]                                                                  ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=5220"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=8052"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=4460"                                                                                                                          ,     1
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=3351"                                                                                                                          ,     1
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=1872]                                                       ,     0
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=2428]"                                                         ,     0
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=6712]"                                                                              ,     0
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=8788]                                                       ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=6553"                                                                                                                          ,     1
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=7268"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=8162"                                                                                                                          ,     1
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=3906]                                                       ,     0
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=1936]                                      ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=6625"                                                                                                                          ,     1
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=7386]                                                                  ,     0
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=4512]                                                                  ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=8159"                                                                                                                          ,     1
INFO: [target-app] User session refreshed token_id=tok_9a8f7b2c. [req_id=4695]                                                                 ,     0
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=2115]                                                                  ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=1749"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=9460"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=7770"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=9487"                                                                                                                          ,     1
"INFO: 10.0.0.12:49152 - ""GET /health HTTP/1.1"" 200 OK [req_id=2400]"                                                                        ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=5169"                                                                                                                          ,     1
"INFO: 10.0.2.15:52130 - ""GET /metrics HTTP/1.1"" 200 OK [req_id=1946]"                                                                       ,     0
INFO: [target-app] User session refreshed token_id=tok_9a8f7b2c. [req_id=8176]                                                                 ,     0
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=5481]"                                                                              ,     0
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=2368"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=3804"                                                                                                                          ,     1
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=5634"                                                                                                                          ,     1
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=9332]"                                                             ,     0
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=2329"                                                                                                                          ,     1
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=7031"                                                                                                                          ,     1
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=2388]                                                                  ,     0
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=5872]"                                                             ,     0
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=3024]"                                                             ,     0
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=5308]                                      ,     0
INFO: [target-app] Health check probe passed. All downstream dependencies reachable. [req_id=6270]                                             ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=7797"                                                                                                                          ,     1
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=9918]"                                                         ,     0
INFO: [target-app] Processed request GET / successfully with status 200 OK. [req_id=3864]                                                      ,     0
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=5842]                                                       ,     0
"INFO: 10.0.2.15:52130 - ""GET /metrics HTTP/1.1"" 200 OK [req_id=7990]"                                                                       ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=1483"                                                                                                                          ,     1
